id	label	sublabel	description	x	y	cluster	weight<total count>	score<average pub year>	weight<2010~2012 Peoples R China count>	weight<2010~2012 USA count>	weight<2017~2019 Peoples R China count>	weight<2017~2019 USA count>	score<USA ratio for 2010~2012>	score<USA ratio for 2017~2019>	weight<default>
10	10	dissociative recombination; tilde; mu m; rydberg state; photodissociation dynamic	<table><tr><td>Micro-level field:</td><td>10</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of chemical physics; journal of physical chemistry a; chemical physics letters; journal of molecular spectroscopy; physical chemistry chemical physics</td></tr><tr><td>Terms:</td><td>dissociative recombination; tilde; mu m; rydberg state; photodissociation dynamic</td></tr></table>	0.6935	-0.5009	3	40781	2008.7707	829	1436	692	1217	0.633995584988963	0.637506547930854	10
11	11	microrna expression; serum mir; microrna mir; tumor suppressive microrna; cluster	<table><tr><td>Micro-level field:</td><td>11</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>plos one; oncotarget; oncology letters; molecular medicine reports; oncology reports</td></tr><tr><td>Terms:</td><td>microrna expression; serum mir; microrna mir; tumor suppressive microrna; cluster</td></tr></table>	-0.8493	-0.2022	2	40109	2014.9902	1810	2355	7692	1510	0.565426170468187	0.164094762008259	10
12	12	rutile tio2; anatase; titanate nanotube; tio2 photocatalyst; tio2 powder	<table><tr><td>Micro-level field:</td><td>12</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of physical chemistry c; applied surface science; applied catalysis b-environmental; advanced materials research; journal of photochemistry and photobiology a-chemistry</td></tr><tr><td>Terms:</td><td>rutile tio2; anatase; titanate nanotube; tio2 photocatalyst; tio2 powder</td></tr></table>	0.6135	-0.5599	3	39754	2011.9662	2474	624	2163	436	0.201420271142673	0.167756829549827	10
13	13	somatic hypermutation; hla system; j recombination; b cell development; aid	<table><tr><td>Micro-level field:</td><td>13</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of immunology; european journal of immunology; tissue antigens; proceedings of the national academy of sciences of the united states of america; journal of experimental medicine</td></tr><tr><td>Terms:</td><td>somatic hypermutation; hla system; j recombination; b cell development; aid</td></tr></table>	-0.8374	-0.2054	2	39683	2007.361	487	1771	473	1191	0.784322409211692	0.715745192307692	10
14	14	knowledge management; absorptive capacity; market orientation; tacit knowledge; new product performance	<table><tr><td>Micro-level field:</td><td>14</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>strategic management journal; journal of business research; journal of knowledge management; journal of product innovation management; international journal of technology management</td></tr><tr><td>Terms:</td><td>knowledge management; absorptive capacity; market orientation; tacit knowledge; new product performance</td></tr></table>	0.0436	0.756	1	39321	2011.3281	232	1265	689	1041	0.84502338009352	0.601734104046243	10
15	15	superheavy nuclei; alpha decay; shape coexistence; high; excited state	<table><tr><td>Micro-level field:</td><td>15</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review c; aip conference proceedings; nuclear physics a; european physical journal a; journal of physics conference series</td></tr><tr><td>Terms:</td><td>superheavy nuclei; alpha decay; shape coexistence; high; excited state</td></tr></table>	1.2375	-0.2718	3	39227	2009.823	721	1195	728	1081	0.623695198329854	0.597567716970702	10
16	16	large scale structure; dark energy model; holographic dark energy; wmap; non gaussianity	<table><tr><td>Micro-level field:</td><td>16</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review d; journal of cosmology and astroparticle physics; monthly notices of the royal astronomical society; physics letters b; astrophysical journal</td></tr><tr><td>Terms:</td><td>large scale structure; dark energy model; holographic dark energy; wmap; non gaussianity</td></tr></table>	1.247	-0.2543	3	39086	2011.6665	511	1382	747	1477	0.730058108821976	0.664118705035971	10
17	17	sedentary time; accelerometry; pedometer; active commuting; physical activity intervention	<table><tr><td>Micro-level field:</td><td>17</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>bmc public health; journal of physical activity & health; international journal of behavioral nutrition and physical activity; preventive medicine; international journal of environmental research and public health</td></tr><tr><td>Terms:</td><td>sedentary time; accelerometry; pedometer; active commuting; physical activity intervention</td></tr></table>	-0.581	0.3992	2	38964	2012.9027	98	2786	395	3275	0.966019417475728	0.892370572207085	10
18	18	amyloid precursor protein; aggregation; amyloid beta peptide; gamma secretase; amyloid fibril	<table><tr><td>Micro-level field:</td><td>18</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of alzheimers disease; journal of biological chemistry; neurobiology of aging; plos one; journal of neuroscience</td></tr><tr><td>Terms:</td><td>amyloid precursor protein; aggregation; amyloid beta peptide; gamma secretase; amyloid fibril</td></tr></table>	-0.7595	-0.1782	2	38102	2011.0337	609	2544	1210	2109	0.806850618458611	0.635432359144321	10
19	19	biosorption; anionic dye; congo red; hexavalent chromium; dye	<table><tr><td>Micro-level field:</td><td>19</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources:</td><td>desalination and water treatment; journal of hazardous materials; chemical engineering journal; rsc advances; bioresource technology</td></tr><tr><td>Terms:</td><td>biosorption; anionic dye; congo red; hexavalent chromium; dye</td></tr></table>	0.3292	-0.4732	3	38087	2013.8712	1267	157	3214	378	0.110252808988764	0.105233853006682	10
20	20	cu2o; semiconductor superlattice; spherical quantum dot; sigehbts; bipolar transistor	<table><tr><td>Micro-level field:</td><td>20</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review b; journal of applied physics; applied physics letters; journal of crystal growth; proceedings of spie</td></tr><tr><td>Terms:</td><td>cu2o; semiconductor superlattice; spherical quantum dot; sigehbts; bipolar transistor</td></tr></table>	0.875	-0.4801	3	37957	2006.9724	412	560	273	278	0.576131687242798	0.50453720508167	10
21	21	ly alpha emitter; circumgalactic medium; lyman break galaxy; galaxy luminosity function; red sequence	<table><tr><td>Micro-level field:</td><td>21</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>monthly notices of the royal astronomical society; astrophysical journal; astronomy & astrophysics; astronomical society of the pacific conference series; astronomical journal</td></tr><tr><td>Terms:</td><td>ly alpha emitter; circumgalactic medium; lyman break galaxy; galaxy luminosity function; red sequence</td></tr></table>	1.2421	-0.2581	3	37903	2009.9009	277	2619	559	2885	0.904350828729282	0.837688734030197	10
22	22	zno nanorod array; zinc oxide thin film; zno nanowires; zno film	<table><tr><td>Micro-level field:</td><td>22</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>applied physics letters; applied surface science; thin solid films; journal of applied physics; journal of alloys and compounds</td></tr><tr><td>Terms:</td><td>zno nanorod array; zinc oxide thin film; zno nanowires; zno film</td></tr></table>	0.705	-0.5574	3	36855	2011.7641	2171	643	1236	298	0.228500355366027	0.194263363754889	10
23	23	optical property; inn; gan film; efficiency droop; hydride vapor phase epitaxy	<table><tr><td>Micro-level field:</td><td>23</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>applied physics letters; journal of crystal growth; journal of applied physics; physica status solidi c-current topics in solid state physics; japanese journal of applied physics</td></tr><tr><td>Terms:</td><td>optical property; inn; gan film; efficiency droop; hydride vapor phase epitaxy</td></tr></table>	0.8403	-0.4824	3	36323	2009.8384	809	871	1159	671	0.518452380952381	0.366666666666667	10
24	24	constitution; lawyer; federalism; judicial review; supreme court	<table><tr><td>Micro-level field:</td><td>24</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>fordham law review; harvard law review; notre dame law review; columbia law review; university of chicago law review</td></tr><tr><td>Terms:</td><td>constitution; lawyer; federalism; judicial review; supreme court</td></tr></table>	-0.1697	0.8403	1	36114	2009.8784	72	4065	100	3828	0.982596084118927	0.974541751527495	10
25	25	hepatitis c virus genotype; chronic hepatitis c; hcv genotype; ribavirin; direct acting antiviral	<table><tr><td>Micro-level field:</td><td>25</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>hepatology; journal of viral hepatitis; journal of hepatology; journal of virology; plos one</td></tr><tr><td>Terms:</td><td>hepatitis c virus genotype; chronic hepatitis c; hcv genotype; ribavirin; direct acting antiviral</td></tr></table>	-0.7703	-0.1795	2	35948	2010.7657	274	1630	432	1819	0.85609243697479	0.808085295424256	10
26	26	bipb; underdoped cuprate; cuprate superconductor; high t c cuprate; cuprate	<table><tr><td>Micro-level field:</td><td>26</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review b; physica c-superconductivity and its applications; superconductor science & technology; physical review letters; ieee transactions on applied superconductivity</td></tr><tr><td>Terms:</td><td>bipb; underdoped cuprate; cuprate superconductor; high t c cuprate; cuprate</td></tr></table>	0.8981	-0.5179	3	35931	2006.68	437	679	340	468	0.608422939068101	0.579207920792079	10
27	27	cloud radio access network; mimo broadcast channel; massive mimo; millimeter wave mimo system; low resolution adc	<table><tr><td>Micro-level field:</td><td>27</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>ieee vehicular technology conference proceedings; ieee international conference on communications; ieee transactions on wireless communications; ieee transactions on vehicular technology; ieee transactions on communications</td></tr><tr><td>Terms:</td><td>cloud radio access network; mimo broadcast channel; massive mimo; millimeter wave mimo system; low resolution adc</td></tr></table>	0.8414	0.5416	5	35545	2013.1639	421	405	1710	784	0.490314769975787	0.314354450681636	10
28	28	sars cov; pneumonia; infection; severe acute respiratory syndrome coronavirus; mortality	<table><tr><td>Micro-level field:</td><td>28</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of virology; plos one; emerging infectious diseases; journal of medical virology; international journal of infectious diseases</td></tr><tr><td>Terms:</td><td>sars cov; pneumonia; infection; severe acute respiratory syndrome coronavirus; mortality</td></tr></table>	-0.6843	-0.1651	2	35417	2018.1651	139	199	230	449	0.588757396449704	0.661266568483063	10
29	29	severe asthma; inhaled corticosteroid; asthma control; acute asthma; formoterol	<table><tr><td>Micro-level field:</td><td>29</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of allergy and clinical immunology; journal of asthma; annals of allergy asthma & immunology; european respiratory journal; american journal of respiratory and critical care medicine</td></tr><tr><td>Terms:</td><td>severe asthma; inhaled corticosteroid; asthma control; acute asthma; formoterol</td></tr></table>	-0.7938	-0.1306	2	35127	2009.9841	159	1509	456	1474	0.904676258992806	0.763730569948187	10
30	30	tokamak plasma; diii d; mode; asdex upgrade; scrape	<table><tr><td>Micro-level field:</td><td>30</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physics of plasmas; nuclear fusion; plasma physics and controlled fusion; fusion engineering and design; review of scientific instruments</td></tr><tr><td>Terms:</td><td>tokamak plasma; diii d; mode; asdex upgrade; scrape</td></tr></table>	0.9223	-0.4044	3	35015	2010.3359	531	1537	1350	1954	0.743230174081238	0.591404358353511	10
31	31	leader member exchange; ethical leadership; abusive supervision; organizational justice; organizational citizenship behavior	<table><tr><td>Micro-level field:</td><td>31</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>journal of applied psychology; journal of organizational behavior; leadership quarterly; international journal of human resource management; journal of business and psychology</td></tr><tr><td>Terms:</td><td>leader member exchange; ethical leadership; abusive supervision; organizational justice; organizational citizenship behavior</td></tr></table>	-0.1914	0.7522	1	34543	2012.732	357	2026	1143	2251	0.850188837599664	0.663229228049499	10
32	32	unit root; inflation expectation; power parity; long memory; monetary policy rule	<table><tr><td>Micro-level field:</td><td>32</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>economics letters; applied economics; economic modelling; applied economics letters; journal of money credit and banking</td></tr><tr><td>Terms:</td><td>unit root; inflation expectation; power parity; long memory; monetary policy rule</td></tr></table>	0.0536	0.7325	1	34211	2011.0232	214	1589	429	1493	0.881308929561841	0.776795005202914	10
33	33	mobile sink; wireless multimedia sensor network; lifetime; energy efficient wireless sensor network; target tracking	<table><tr><td>Micro-level field:</td><td>33</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>lecture notes in computer science; international journal of distributed sensor networks; sensors; wireless personal communications; ieee international conference on communications</td></tr><tr><td>Terms:</td><td>mobile sink; wireless multimedia sensor network; lifetime; energy efficient wireless sensor network; target tracking</td></tr></table>	0.7812	0.5589	5	33937	2012.1896	554	554	944	300	0.5	0.241157556270096	10
34	34	spring migration; nest survival; brood parasitism; nest predation; nest site selection	<table><tr><td>Micro-level field:</td><td>34</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of wildlife management; condor; wilson journal of ornithology; waterbirds; auk</td></tr><tr><td>Terms:</td><td>spring migration; nest survival; brood parasitism; nest predation; nest site selection</td></tr></table>	-0.2208	-0.1287	4	33579	2010.3189	95	1832	220	1960	0.950700570835496	0.89908256880734	10
35	35	mini mental state examination; normative data; montreal cognitive assessment; validity; late life depression	<table><tr><td>Micro-level field:</td><td>35</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of alzheimers disease; international journal of geriatric psychiatry; international psychogeriatrics; neurology; dementia and geriatric cognitive disorders</td></tr><tr><td>Terms:</td><td>mini mental state examination; normative data; montreal cognitive assessment; validity; late life depression</td></tr></table>	-0.6702	0.2305	2	32821	2011.4344	170	1649	599	1934	0.906542056074766	0.763521515988946	10
36	36	sol gel; hydroxyapatite coating; po4; synthesis; vitro bioactivity	<table><tr><td>Micro-level field:</td><td>36</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering; Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>key engineering materials; materials science & engineering c-materials for biological applications; journal of materials science-materials in medicine; ceramics international; biomaterials</td></tr><tr><td>Terms:</td><td>sol gel; hydroxyapatite coating; po4; synthesis; vitro bioactivity</td></tr></table>	0.2753	-0.4378	3	32763	2011.4688	1068	549	1318	482	0.339517625231911	0.267777777777778	10
37	37	sunspot; active region; flare; coronal loop; quiet sun	<table><tr><td>Micro-level field:</td><td>37</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>astrophysical journal; astronomy & astrophysics; solar physics; astronomical society of the pacific conference series; advances in space research</td></tr><tr><td>Terms:</td><td>sunspot; active region; flare; coronal loop; quiet sun</td></tr></table>	0.9908	-0.1911	3	32521	2009.8812	399	1590	659	1418	0.799396681749623	0.682715454983149	10
38	38	white organic light; iridium; diode; oled; host material	<table><tr><td>Micro-level field:</td><td>38</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>applied physics letters; synthetic metals; organic electronics; proceedings of spie; journal of materials chemistry c</td></tr><tr><td>Terms:</td><td>white organic light; iridium; diode; oled; host material</td></tr></table>	0.4308	-0.6236	3	32475	2010.1662	1453	381	1837	245	0.207742639040349	0.117675312199808	10
39	39	herbivory; insect herbivore; aphidiinae; russian wheat; defoliation	<table><tr><td>Micro-level field:</td><td>39</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>environmental entomology; biological control; entomologia experimentalis et applicata; journal of economic entomology; journal of chemical ecology</td></tr><tr><td>Terms:</td><td>herbivory; insect herbivore; aphidiinae; russian wheat; defoliation</td></tr></table>	-0.2742	-0.1955	4	32380	2010.4498	317	1360	678	1235	0.810971973762671	0.645582854155776	10
40	40	high performance supercapacitor; supercapacitor; electrochemical capacitor; ni foam	<table><tr><td>Micro-level field:</td><td>40</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>electrochimica acta; journal of power sources; journal of materials chemistry a; rsc advances; journal of alloys and compounds</td></tr><tr><td>Terms:</td><td>high performance supercapacitor; supercapacitor; electrochemical capacitor; ni foam</td></tr></table>	0.6214	-0.551	3	32234	2015.9941	1104	367	7763	1105	0.249490142760027	0.124605322507894	10
41	41	hydroformylation; carbonylation; ii ii; mu co; fischer carbene complex	<table><tr><td>Micro-level field:</td><td>41</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>organometallics; journal of organometallic chemistry; inorganic chemistry; dalton transactions; inorganica chimica acta</td></tr><tr><td>Terms:</td><td>hydroformylation; carbonylation; ii ii; mu co; fischer carbene complex</td></tr></table>	0.2306	-0.6859	3	32130	2007.4212	361	818	277	462	0.693808312128923	0.625169147496617	10
42	42	secondhand smoke exposure; environmental tobacco smoke; tobacco control; cessation intervention; maternal smoking	<table><tr><td>Micro-level field:</td><td>42</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>nicotine & tobacco research; tobacco control; addictive behaviors; addiction; bmc public health</td></tr><tr><td>Terms:</td><td>secondhand smoke exposure; environmental tobacco smoke; tobacco control; cessation intervention; maternal smoking</td></tr></table>	-0.6409	0.29	2	32068	2011.1244	168	2563	270	2650	0.938484071768583	0.907534246575342	10
43	43	anthocyanins; blueberry; strawberry; cyanidin; grape seed	<table><tr><td>Micro-level field:</td><td>43</td></tr><tr><td>Main fields:</td><td>Life and earth sciences; Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>food chemistry; journal of agricultural and food chemistry; molecules; acta horticulturae; food research international</td></tr><tr><td>Terms:</td><td>anthocyanins; blueberry; strawberry; cyanidin; grape seed</td></tr></table>	-0.6074	-0.379	4	32019	2012.5276	605	626	967	560	0.508529650690496	0.366732154551408	10
44	44	root s13 tev; top quark; top quark pair production; standard model higgs boson; single top production	<table><tr><td>Micro-level field:</td><td>44</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review d; journal of high energy physics; physics letters b; european physical journal c; aip conference proceedings</td></tr><tr><td>Terms:</td><td>root s13 tev; top quark; top quark pair production; standard model higgs boson; single top production</td></tr></table>	1.2526	-0.2627	3	31833	2011.2217	758	1993	1075	1743	0.72446383133406	0.618523775727466	10
45	45	candidemia; invasive aspergillosis; invasive fungal infection; mucormycosis; ill patient	<table><tr><td>Micro-level field:</td><td>45</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>antimicrobial agents and chemotherapy; mycoses; medical mycology; journal of clinical microbiology; journal of antimicrobial chemotherapy</td></tr><tr><td>Terms:</td><td>candidemia; invasive aspergillosis; invasive fungal infection; mucormycosis; ill patient</td></tr></table>	-0.6529	-0.2548	2	31728	2011.2375	284	1244	633	1341	0.81413612565445	0.679331306990882	10
46	46	f theory; orientifold; d brane; x s; mirror symmetry	<table><tr><td>Micro-level field:</td><td>46</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of high energy physics; nuclear physics b; physical review d; physics letters b; international journal of modern physics a</td></tr><tr><td>Terms:</td><td>f theory; orientifold; d brane; x s; mirror symmetry</td></tr></table>	1.2482	-0.21	3	31727	2009.6835	119	1110	178	1080	0.903173311635476	0.858505564387917	10
47	47	madden julian oscillation; mjo; indian ocean dipole; asian summer monsoon; seasonal climate summary southern hemisphere	<table><tr><td>Micro-level field:</td><td>47</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of climate; climate dynamics; geophysical research letters; international journal of climatology; journal of geophysical research-atmospheres</td></tr><tr><td>Terms:</td><td>madden julian oscillation; mjo; indian ocean dipole; asian summer monsoon; seasonal climate summary southern hemisphere</td></tr></table>	0.3154	0.0202	4	31627	2011.7957	823	1720	2025	2396	0.676366496264255	0.541958832843248	10
48	48	semantic segmentation; pedestrian detection; visual question; image captioning; deep neural networks	<table><tr><td>Micro-level field:</td><td>48</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Sources:</td><td>lecture notes in computer science; ieee conference on computer vision and pattern recognition; ieee international conference on computer vision; ieee access; proceedings of spie</td></tr><tr><td>Terms:</td><td>semantic segmentation; pedestrian detection; visual question; image captioning; deep neural networks</td></tr></table>	0.6493	0.4479	5	31569	2017.4423	62	75	2422	756	0.547445255474453	0.237885462555066	10
49	49	laparoscopic radical prostatectomy; active surveillance; robot; prostate biopsy; prostate brachytherapy	<table><tr><td>Micro-level field:</td><td>49</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of urology; bju international; urology; european urology; international journal of radiation oncology biology physics</td></tr><tr><td>Terms:</td><td>laparoscopic radical prostatectomy; active surveillance; robot; prostate biopsy; prostate brachytherapy</td></tr></table>	-0.9287	-0.135	2	31436	2011.4272	89	1928	399	2039	0.955875061973228	0.836341263330599	10
50	50	tohoku earthquake; san andreas fault; parkfield; chi chi; induced seismicity	<table><tr><td>Micro-level field:</td><td>50</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of geophysical research-solid earth; bulletin of the seismological society of america; geophysical research letters; geophysical journal international; tectonophysics</td></tr><tr><td>Terms:</td><td>tohoku earthquake; san andreas fault; parkfield; chi chi; induced seismicity</td></tr></table>	0.4617	-0.0895	4	31134	2011.2585	266	1413	722	1714	0.84157236450268	0.703612479474549	10
51	51	solid oxide fuel cell; cathode; performance; sofc; proton	<table><tr><td>Micro-level field:</td><td>51</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of power sources; solid state ionics; international journal of hydrogen energy; ecs transactions; journal of the electrochemical society</td></tr><tr><td>Terms:</td><td>solid oxide fuel cell; cathode; performance; sofc; proton</td></tr></table>	0.6813	-0.5389	3	30965	2011.5798	1008	986	1432	681	0.494483450351053	0.322290582110743	10
