id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<2000-2002 Peoples R China>	weight<2010-2012 Peoples R China>	weight<2017-2019 Peoples R China>	weight<2000-2002 USA>	weight<2010-2012 USA>	weight<2017-2019 USA>	score<USA ratio for 2000~2002>	score<USA ratio for 2010~2012>	score<USA ratio for 2017~2019>	weight<default>	weight<Top10 2000-2002 Peoples R China>	weight<Top10 2010-2012 Peoples R China>	weight<Top10 2017-2019 Peoples R China>	weight<Top10 2000-2002 USA>	weight<Top10 2010-2012 USA>	weight<Top10 2017-2019 USA>	score<Top10 USA ratio for 2000~2002>	score<Top10 USA ratio for 2010~2012>	score<Top10 USA ratio for 2017~2019>	weight<Top1 2000-2002 Peoples R China>	weight<Top1 2010-2012 Peoples R China>	weight<Top1 2017-2019 Peoples R China>	weight<Top1 2000-2002 USA>	weight<Top1 2010-2012 USA>	weight<Top1 2017-2019 USA>	score<Top1 USA ratio for 2000~2002>	score<Top1 USA ratio for 2010~2012>	score<Top1 USA ratio for 2017~2019>
Electrical eng, electronic eng	-0.4649	-0.5262	6	38	6.384	5220	30595	111322	28849	34582	45130	0.84678153159764	0.530585942893966	0.288459080101245	10	454	3409	13323	4569	5296	6627	0.90961576746964	0.608385985066054	0.33218045112782	35	355	1639	588	753	825	0.943820224719101	0.679602888086643	0.334821428571429
Environmental biotechnology	-0.6181	0.4107	2	38	12.7711	984	12059	27189	11974	17422	16129	0.924062355301744	0.590956887486856	0.372339443187589	10	84	1051	2907	1788	2825	2250	0.955128205128205	0.728844169246646	0.43630017452007	3	97	294	216	438	416	0.986301369863014	0.818691588785047	0.585915492957747
Environmental engineering	-0.6577	-0.2564	3	38	12.8169	2295	21069	99570	12526	21792	41531	0.845152148977802	0.508434240918317	0.294335263392889	10	270	3701	18752	1853	3896	6406	0.872821479039096	0.512834013426352	0.25463073376262	22	359	2209	255	492	848	0.92057761732852	0.578143360752056	0.277396140006542
Health sciences	0.1815	0.3292	5	38	10.3495	1559	8971	25363	57467	95239	129751	0.973587910412361	0.913914211687938	0.836488002372449	10	165	1007	3512	7344	12724	15554	0.97802636835797	0.926662296992207	0.815797755166265	6	85	403	807	1483	1897	0.992619926199262	0.945790816326531	0.824782608695652
History and archaeology	1.0785	-0.0431	1	38	6.7711	46	304	728	7034	9513	11249	0.993502824858757	0.96903330956504	0.939216832261835	10	8	36	72	1126	1185	1107	0.99294532627866	0.97051597051597	0.938931297709924	2	1	4	118	124	118	0.983333333333333	0.992	0.967213114754098
Industrial biotechnology	-0.8292	0.1221	4	38	12.2294	199	2923	9491	1181	4269	5650	0.855797101449275	0.593576195773081	0.373158972326795	10	45	573	1430	253	854	897	0.848993288590604	0.598458304134548	0.385474860335196	4	84	146	34	94	90	0.894736842105263	0.528089887640449	0.38135593220339
Languages and literature	1.1826	0.0181	1	38	5.0619	120	1045	2055	11058	13742	15270	0.989264626945786	0.929329816730912	0.881385281385281	10	23	83	250	1732	1969	1679	0.986894586894587	0.959551656920078	0.870399170554692	2	9	17	189	210	200	0.989528795811518	0.958904109589041	0.921658986175115
Law	1.0284	-0.1116	1	38	3.3445	44	349	671	7010	9496	11490	0.993762404309612	0.964550533265617	0.944823616478908	10		22	39	897	1202	1275	1	0.98202614379085	0.970319634703196		3	1	99	134	147	1	0.978102189781022	0.993243243243243
Materials engineering	-1.0045	-0.3873	4	38	11.2265	16675	64411	178496	31093	49113	70974	0.650916931837213	0.432622176808428	0.284499138172927	10	1150	7321	25454	5232	8808	10405	0.81980570354121	0.546097092194184	0.290164254441005	82	729	2652	678	1156	1333	0.892105263157895	0.613262599469496	0.334504391468005
Mathematics	-0.1711	-0.3686	6	38	3.0814	8503	31461	52895	30813	41242	45895	0.783726727032252	0.567266825302945	0.46457131288592	10	845	3235	6434	4540	5580	4939	0.843082636954503	0.633011911514464	0.434274158093731	66	331	925	567	698	507	0.895734597156398	0.678328474246842	0.354050279329609
Mechanical engineering	-0.722	-0.4465	3	38	8.688	5255	17772	57239	21689	23108	28552	0.804965855106888	0.565264187866928	0.332808802788171	10	370	1815	6820	3222	2779	2848	0.896993318485523	0.604919460165433	0.294580057923045	42	133	728	375	319	304	0.899280575539568	0.705752212389381	0.294573643410853
Media and communication	0.7544	-0.0865	1	38	6.3957	173	831	2209	5829	7680	10118	0.971176274575142	0.902361649629891	0.820799870203618	10	34	98	289	754	1083	1148	0.956852791878173	0.917019475021169	0.798886569241475	7	7	24	96	131	113	0.932038834951456	0.949275362318841	0.824817518248175
Medical engineering	-0.367	0.2458	5	38	12.9104	505	4393	13415	7425	13736	16114	0.936317780580076	0.757681063489437	0.545700836465847	10	72	737	1817	940	2102	2275	0.928853754940711	0.740401549841494	0.555962854349951	10	114	229	132	226	281	0.929577464788732	0.664705882352941	0.550980392156863
Nano-technology	-0.9564	-0.2874	4	38	13.6122	1042	15768	53967	4085	18771	27878	0.796762239126195	0.543472596195605	0.340619463620258	10	163	3016	12697	871	4385	5374	0.842359767891683	0.592487501688961	0.297382546621659	19	403	1451	137	600	598	0.878205128205128	0.598205383848455	0.291849682772084
Other Humanities	1.1741	-0.0383	1	38	8.3934	6	48	216	1883	2907	3166	0.996823716251985	0.983756345177665	0.936132465996452	10		13	27	364	391	280	1	0.967821782178218	0.912052117263844		2	2	49	50	38	1	0.961538461538461	0.95
Other agricultural science	-0.6176	0.3651	2	38	9.1187	414	8423	25603	7868	11533	13435	0.950012074378169	0.577921427139707	0.344151852041601	10	57	1127	3895	1000	1441	1621	0.946073793755913	0.56113707165109	0.293872371283539	4	102	428	118	180	169	0.967213114754098	0.638297872340426	0.283082077051926
Other engineering and technologies	-0.6228	-0.1027	6	38	16.5682	4992	26317	83365	24984	31853	40077	0.833466773418735	0.547584665635207	0.324662594578831	10	315	2651	10380	3327	4013	4723	0.913509060955519	0.60219087635054	0.31271932728597	28	210	1195	408	497	529	0.935779816513761	0.702970297029703	0.306844547563805
Other natural sciences	-0.3104	0.1696	5	38	17.6175	2311	10638	36305	14010	34515	60481	0.858403284112493	0.764401036475982	0.62489409625359	10	44	772	4549	2290	5733	10598	0.98114824335904	0.881322059953882	0.699676503598072	13	88	603	240	677	1360	0.948616600790514	0.884967320261438	0.692817116658176
Other social sciences	0.9382	-0.0061	1	38	12.5751	159	1035	2920	4882	8744	11737	0.968458639158897	0.894160957153083	0.800777785358532	10	28	131	450	735	1118	1383	0.963302752293578	0.895116092874299	0.754500818330606	1	8	53	115	141	156	0.991379310344828	0.946308724832215	0.746411483253589
Philosophy, ethics and religion	1.0966	0.0159	1	38	4.1852	67	497	1193	6540	9982	11854	0.989859240199788	0.952571810287241	0.90856135510079	10	10	40	150	1064	1477	1320	0.990689013035382	0.97363216875412	0.897959183673469	1	6	15	122	174	160	0.991869918699187	0.966666666666667	0.914285714285714
Physical sciences and astronomy	-0.7994	-0.4226	4	38	8.8941	23725	85748	162532	88706	110184	112688	0.788981686545526	0.562358369230141	0.409446987864254	10	1492	6885	18403	14417	17895	16182	0.90621660695204	0.722154963680388	0.467890704062455	123	672	2146	1675	2135	2044	0.931590656284761	0.760598503740648	0.487828162291169
Political science	1.0937	-0.1665	1	38	5.8568	104	496	1312	6951	10017	11771	0.985258681785967	0.952820317701893	0.899717190246885	10	7	42	114	1051	1401	1375	0.993383742911153	0.970893970893971	0.923438549361988	1	6	10	114	182	191	0.991304347826087	0.968085106382979	0.950248756218905
Psychology	0.5845	0.1509	1	38	8.0548	645	2652	8342	30616	45359	54558	0.979367262723521	0.944762658557414	0.867376788553259	10	59	271	875	4264	6630	6769	0.986352070321536	0.960730328937835	0.885531135531135	3	19	95	508	783	778	0.99412915851272	0.976309226932668	0.891179839633448
Social and economic geography	0.656	-0.1421	1	38	10.3485	344	2008	12169	6641	13520	20217	0.95075161059413	0.870685213807316	0.624251219662817	10	71	390	1620	770	1531	2257	0.915576694411415	0.796980739198334	0.582151147794687	9	37	187	90	184	330	0.909090909090909	0.832579185520362	0.638297872340426
Sociology	0.8743	-0.0256	1	38	11.025	386	1257	3180	16238	24015	29419	0.976780558229066	0.950261158594492	0.902450995429308	10	43	159	364	2360	3231	3178	0.982105701206825	0.953097345132743	0.897233201581028	2	13	25	297	397	355	0.993311036789298	0.968292682926829	0.93421052631579
Veterinary science	-0.4621	0.6716	2	38	4.2604	131	2345	4761	8943	9838	10714	0.985563147454265	0.80751867356152	0.692342487883683	10	22	220	753	1225	1207	962	0.982357658380112	0.8458304134548	0.560932944606414	2	20	73	110	128	108	0.982142857142857	0.864864864864865	0.596685082872928
